TIME,GDP2012,GDP2013,GDP2014,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,GDP2021,GDP2022,GDP2023
European Union - 27 countries (from 2020),25770,26010,26580,27500,28190,29320,30290,31310,30050,32690,35460,37610
Euro area – 20 countries (from 2023),29000,29240,29870,30830,31590,32720,33730,34760,33190,35950,38760,40990
Euro area - 19 countries  (2015-2022),29230,29480,30120,31080,31840,32970,33980,35010,33430,36190,39000,41220
Belgium,34770,35210,35950,36960,37960,39130,40260,41660,39930,43840,47440,49540
Bulgaria,5780,5790,5960,6380,6840,7420,8000,8820,8880,10330,13270,14580
Czechia,15470,15170,15000,16080,16790,18330,19850,21150,20170,22270,25850,28580
Denmark,45530,46100,47090,48050,49420,51140,52180,53210,53410,58590,64450,62840
Germany,34130,34860,36150,37050,38070,39530,40590,41810,40930,43480,46260,48750
Estonia,13520,14320,15240,15710,16530,18120,19660,21100,20640,23430,27040,27590
Ireland,38110,38810,42010,56120,56800,62160,67370,72320,75350,86490,98990,95290
Greece,17060,16410,16270,16300,16190,16450,16730,17100,15420,17060,19530,20920
Spain,22050,21910,22230,23230,23990,24980,25760,26440,23640,25800,28160,30320
France,31820,32080,32420,33020,33430,34230,35040,35980,34080,36670,38550,40800
Croatia,10470,10470,10410,10780,11370,12130,12930,13710,12490,14770,17400,:
Itly,26990,26740,26980,27480,28210,28940,29580,30080,27950,30810,33260,35350
Cyprus,22570,20930,20510,21170,22330,23630,24910,26280,24760,27690,30430,32100
Latvia,10870,11320,11850,12430,12950,13900,15130,15980,15840,17710,20350,21440
Lithuania,11180,11850,12480,12860,13560,14950,16250,17520,17840,20110,23820,25070
Luxembourg,87540,90030,92760,95090,96230,97440,98750,100450,102230,112860,118310,118770
Hungary,10110,10330,10770,11460,11850,12980,13920,15000,14150,15860,17410,20480
Malta,17540,18680,20170,22490,23190,25540,26930,28330,25910,29570,32770,35340
Netherlands,38970,39300,39820,40730,41590,43090,44920,46880,45670,49650,54150,57840
Austria,37820,38210,38990,39890,40920,42000,43590,44740,42720,45270,49400,52250
Poland,10000,10090,10560,11180,11050,12120,12990,13870,13720,15100,17300,19840
Portugal,16010,16300,16640,17350,18060,19020,19950,20840,19470,20990,23530,25730
Romania,6950,7150,7560,8090,8500,9510,10580,11560,11430,12630,14920,17030
Slovenia,17630,17700,18250,18830,19590,20820,22140,23260,22370,24800,27050,29750
Slovakia,13620,13760,14090,14780,14960,15570,16500,17320,17110,18430,19980,22090
Finland,37130,37570,37880,38570,39580,41080,42320,43440,43040,45230,48170,49700
Sweden,45170,46020,45260,46480,46990,47730,46260,46390,46420,51910,53570,52040
Iceland,35800,37470,41150,47750,56070,63830,63050,61130,51700,58570,71460,72860
Liechtenstein,:,128380,133180,148440,147270,148690,146100,146830,142470,164150,172900,:
Norway,79510,77920,73670,67390,64060,67520,70150,68270,60020,78670,103540,81000
Switzerland,66780,65730,66920,75530,74260,72860,72150,75150,75330,78990,88620,91780
United Kingdom,33140,32700,35780,40620,37080,35730,36440,37830,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:
Montenegro,5130,5410,5560,5870,6350,6910,7490,7960,6740,8000,9600,:
North Macedonia,3930,4240,4470,4740,5070,5290,5690,6000,5850,6440,:,:
Albania,3300,3320,3450,3560,3730,4020,4480,4820,4690,5390,:,:
Serbia,4680,5080,4970,5040,5210,5590,6140,6620,6790,7810,9070,10500
Türkiye,9090,9450,9160,9930,9910,9470,8090,8220,7520,8200,10150,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:
