TIME,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
GEO (Labels),,,,,,,,,,,,
European Union - 27 countries (from 2020),440552661,441257711,442883888,443666812,444802830,445534430,446208557,446559279,447485231,447000548,446820419,448753823
Euro area – 20 countries (from 2023),339564908,340307106,342011161,342787437,343978656,344695355,345358497,345713148,346632956,346670757,346753317,349616346
Euro area - 19 countries  (2015-2022),335288924,336044966,337764352,338562121,339787987,340541142,341253004,341636902,342574791,342561034,342891012,345765452
Belgium,11075889,11137974,11180840,11237274,11311117,11351727,11398589,11455519,11522440,11554767,11617623,11742796
Bulgaria,7327224,7284552,7245677,7202198,7153784,7101859,7050034,7000039,6951482,6916548,6838937,6447710
Czech Republic,10505445,10516125,10512419,10538275,10553843,10578820,10610055,10649800,10693939,10494836,10516707,10827529
Denmark,5580516,5602628,5627235,5659715,5707251,5748769,5781190,5806081,5822763,5840045,5873420,5932654
Germany,80327900,80523746,80767463,81197537,82175684,82521653,82792351,83019213,83166711,83155031,83237124,84358845
Estonia,1325217,1320174,1315819,1314870,1315944,1315635,1319133,1324820,1328976,1330068,1331796,1365884
Ireland,4589287,4609779,4637852,4677627,4726286,4784383,4830392,4904240,4964440,5006324,5060004,5271395
Greece,11086406,11003615,10926807,10858018,10783748,10768193,10741165,10724599,10718565,10678632,10459782,10413982
Spain,46818219,46727890,46512199,46449565,46440099,46528024,46658447,46937060,47332614,47398695,47432893,48085361
France,65276983,65600350,66165980,66458153,66638391,66809816,67026224,67290471,67485531,67656682,67957053,68172977
Metropolitan France,63375971,63697865,:,:,:,:,:,:,:,:,:,:
Croatia,4275984,4262140,4246809,4225316,4190669,4154213,4105493,4076246,4058165,4036355,3862305,3850894
Italy,59394207,59685227,60782668,60795612,60665551,60589445,60483973,59816673,59641488,59236213,59030133,58997201
Cyprus,862011,865878,858000,847008,848319,854802,864236,875899,888005,896007,904705,920701
Latvia,2044813,2023825,2001468,1986096,1968957,1950116,1934379,1919968,1907675,1893223,1875757,1883008
Lithuania,3003641,2971905,2943472,2921262,2888558,2847904,2808901,2794184,2794090,2795680,2805998,2857279
Luxembourg,524853,537039,549680,562958,576249,590667,602005,613894,626108,634730,645397,660809
Hungary,9931925,9908798,9877365,9855571,9830485,9797561,9778371,9772756,9769526,9730772,9689010,9599744
Malta,417546,422509,429424,439691,450415,460297,475701,493559,514564,516100,520971,542051
Netherlands,16730348,16779575,16829289,16900726,16979120,17081507,17181084,17282163,17407585,17475415,17590672,17811291
Austria,8408121,8451860,8507786,8584926,8700471,8772865,8822267,8858775,8901064,8932664,8978929,9104772
Poland,38063792,38062535,38017856,38005614,37967209,37972964,37976687,37972812,37958138,37840001,37654247,36753736
Portugal,10542398,10487289,10427301,10374822,10341330,10309573,10291027,10276617,10295909,10298252,10352042,10467366
Romania,20095996,20020074,19947311,19870647,19760585,19643949,19533481,19414458,19328838,19201662,19042455,19054548
Slovenia,2055496,2058821,2061085,2062874,2064188,2065895,2066880,2080908,2095861,2108977,2107180,2116972
Slovakia,5404322,5410836,5415949,5421349,5426252,5435343,5443120,5450421,5457873,5459781,5434712,5428792
Finland,5401267,5426674,5451270,5471753,5487308,5503297,5513130,5517919,5525292,5533793,5548241,5563970
Sweden,9482855,9555893,9644864,9747355,9851017,9995153,10120242,10230185,10327589,10379295,10452326,10521556
Iceland,319575,321857,325671,329100,332529,338349,348450,356991,364134,368792,376248,387758
Liechtenstein,36475,36838,37129,37366,37622,37810,38114,38378,38747,39055,39308,39677
Norway,4985870,5051275,5107970,5166493,5210721,5258317,5295619,5328212,5367580,5391369,5425270,5488984
Swisserland,7954662,8039060,8139631,8237666,8327126,8419550,8484130,8544527,8606033,8670300,8738791,8815385
United Kingdom,63495088,63905342,64351203,64853393,65379044,65844142,66273576,66647112,67025542,:,:,:
Bosnia and Herzegovina,3839265,3835645,3830911,3825334,3515982,3509728,3500295,3492018,:,:,:,:
Montenegro,620308,620893,621521,622099,622218,622387,622359,622182,621873,620739,617683,616695
Moldova,3559541,3559497,2869226,2844673,2824387,2779952,2730364,2686064,2640438,2597107,2603729,2512758
North Macedonia,2059794,2062294,2065769,2069172,2071278,2073702,2075301,2077132,2076255,2068808,1837114,1829954
Albania,2903008,2897770,2892394,2885796,2875592,2876591,2870324,2862427,2845955,2829741,2793592,2761785
Serbia,7216649,7181505,7146759,7114393,7076372,7040272,7001444,6963764,6926705,6871547,6797105,6641197
Türkiye,74724269,75627384,76667864,77695904,78741053,79814871,80810525,82003882,83154997,83614362,84680273,85279553
Ukraine,45453282,45372692,45245894,42759661,42590879,42414905,42216766,41983564,41732779,41418717,40997698,:
Kosovo*,1780021,1815606,1820631,1804944,1771604,1783531,1798506,1795666,1782115,1798188,:,:
Georgia,4497617,:,4490498,3729500,3720400,3726374,3729633,3723464,3716858,3728573,3688647,3736357
Andorra,78115,76246,:,:,71732,:,74794,76177,77543,:,79535,81588
Belarus,9465150,9463840,9468154,9480868,9498364,9504704,9491823,9475174,9408350,:,:,:
Monaco,:,:,:,37700,38200,:,38300,38300,:,:,:,:
Russia,143056383,:,143666931,:,:,:,:,:,:,:,:,:
San Marino,33376,33562,32520,32789,33005,33196,34453,34590,34735,34805,33698,33812
Armenia,3274285,3026878,3017079,3010598,2998577,2986151,2972732,2965269,2959694,2963251,:,2977130
Azerbaijan,9235085,9356483,9477119,9593038,9705643,9809981,9898085,9981457,10067108,10119133,10156366,10127145
